origin_lat,origin_lon,dest_lat,dest_lon,cargo_weight_kg,hour_of_day,day_of_week,num_stops,traffic_index,distance_km,eta_minutes,is_rush_hour,log_weight,effective_distance,vehicle_truck,vehicle_van,vehicle_motorcycle
8.375528455795543,-1.0905907274777418,6.859521981256865,-1.8436639246592623,44.65031327927625,3,4,1,1.2666594284656538,187.89623284523955,272.4603886779633,0.0,3.821010469652178,238.00053490660054,1.0,0.0,0.0
6.588057173787833,-0.6480973512625781,9.132401368427129,-2.245691955951249,2389.653992852738,5,5,6,1.268339635410339,333.17353617713,569.9881569881978,0.0,7.7793222446706105,422.57720140327444,1.0,0.0,0.0
10.610458551661758,-2.138761698126174,7.236710047208582,1.045291505722882,1640.4800065791098,23,4,6,1.0256266196070336,512.864269162896,732.9678225693457,0.0,7.403353556897389,526.0072466987729,1.0,0.0,0.0
10.42341234633557,0.996251717103858,8.236228780904272,-2.374398002141974,191.01456649029237,7,3,6,1.2402995650558428,442.6189088214132,1022.107199147395,1.0,5.257571236286955,548.9800400966906,1.0,0.0,0.0
8.07156123391501,-0.7608132970123478,10.003919840977057,-1.0687597801140485,1115.9805949793222,9,3,6,1.438147619406027,217.51306159219897,651.4737702451156,1.0,7.018384426473645,312.81589171853744,1.0,0.0,0.0
10.575377227170613,-1.450817126121045,10.377804140519412,-2.217049367212283,52.89895229144483,11,3,4,1.0174913461017088,86.61321696513822,247.5624101246325,0.0,3.9871110397194416,88.12819872005785,1.0,0.0,0.0
8.682824018552125,0.4020398676467915,5.495663570531125,0.9623969186281434,367.7753103256916,13,0,3,1.5502931493432477,359.748251025198,631.1485327335207,0.0,5.910187543469905,557.7152490525795,1.0,0.0,0.0
8.50346084066847,-0.4621843306064561,9.049593058459624,-0.0461128751537556,341.921810237192,10,6,7,1.6164269070298205,76.01571576387857,275.71776264588374,0.0,5.8375024626873016,122.87384831786422,1.0,0.0,0.0
6.486362829907936,-1.8039982693536003,10.895495850133385,-0.7036933533797134,1276.7569623433494,18,6,7,1.3320986397703638,504.9627977995656,1007.2584556749892,1.0,7.152861446542445,672.6602560834385,1.0,0.0,0.0
9.718704594178472,-1.3126974613717626,10.2451733787495,-0.6896897225360803,756.5389357488383,5,6,2,1.4460135969898749,89.89908781103996,161.9286669067385,0.0,6.630074936391072,129.9953033317505,1.0,0.0,0.0
7.110930090020849,-2.4529858264665023,8.382099358469887,-0.6790684759152681,164.31256059648123,6,4,3,1.3071894455066322,241.20185095641287,419.3528605820284,0.0,5.107837988609716,315.29651380688665,1.0,0.0,0.0
5.723864633276459,-2.418303508943126,10.906167678362127,-1.8100814754170385,94.27958160307033,10,1,6,1.1616227449970444,580.1157652392812,824.9354738441546,0.0,4.556815533801785,673.8756676333148,1.0,0.0,0.0
7.00526124436637,-0.2586322476818439,6.300975995940728,-0.0334821837758232,629.9522824345962,4,6,4,1.3325112504356005,82.16614073239286,264.06722989688245,0.0,6.4472302375495385,109.48730693078834,1.0,0.0,0.0
9.399070991497489,-1.5636256075194246,7.08969407861353,-2.634239984214474,1291.5444002142094,19,2,4,2.011173753600012,282.5249706435567,792.4032848364986,1.0,7.164367957989241,568.2068056949352,1.0,0.0,0.0
7.588380057148511,-1.4653759082496045,5.212382489497013,-1.5275390072305737,882.9066174162573,4,3,7,1.1999691490544062,264.288145263614,590.2807831947266,0.0,6.7843514206507765,317.1376207771462,1.0,0.0,0.0
11.078297405956272,-0.1212545408482106,7.0242696076541975,-2.201598394373236,51.20699024173464,1,0,3,1.1057317809501557,505.3433904478059,609.0347869783034,0.0,3.9552163985999997,558.7742471112423,1.0,0.0,0.0
10.95007259201671,0.9907545667267676,8.71521785867293,-2.8488133629299384,202.6041940655008,10,6,1,1.083389283958881,488.5596593238288,549.1960747215421,0.0,5.316177884000059,529.3002994860377,1.0,0.0,0.0
6.884844795440928,-2.147476795284203,5.789635857127653,-1.432694838205988,1159.2913372385008,5,0,4,1.107049202719831,145.1575121151067,270.0495011374898,0.0,7.056426405358638,160.6965080558231,1.0,0.0,0.0
6.266351541710263,-3.1350507217429326,5.243506335953864,-3.177081306981325,474.8359727040415,19,4,5,1.3547617839746775,113.83021298640836,307.57333437417486,1.0,6.165073199685288,154.2128224156841,1.0,0.0,0.0
